tag,search_terms
sound absorption,"['acoustic absorbers', 'sound absorption', 'soundproofing']"
thermal and acoustic performance,"['acoustic performance', 'thermal and acoustic performance']"
acoustic products,"['acoustic products', 'eco-friendly acoustic products']"
hemorrhage control,"['acute hemorrhage', 'bleeding control', 'hemorrhage control', 'hemostatic clotting fibers', 'hemostatic treatment', 'severe hemorrhage', 'spill control']"
acute lung injury,"['acute kidney injury', 'acute lung injury']"
air purification,"['advanced filtration', 'air filtration', 'air purification', 'air purifier', 'natural air purification', 'uv air purifiers']"
wound care,"['advanced wound care', 'wound care', 'wound dressings']"
housing affordability,"['affordable housing', 'housing access', 'housing affordability']"
agriculture supply chain,"['agriculture supply chain', 'supply chains']"
air conditioning,"['air conditioning', 'air-conditioning', 'climate control']"
air pollution control,"['air pollution', 'air pollution control', 'pollution control']"
air quality monitoring,"['air quality monitoring', 'air quality sensors', 'air quality tracking']"
indoor air quality solutions,"['air quality solutions', 'indoor air quality', 'indoor air quality monitoring', 'indoor air quality solutions']"
building envelope airtightness,"['air sealants', 'building envelope airtightness']"
airborne pathogens,"['airborne allergens', 'airborne infectious diseases', 'airborne pathogens', 'airborne toxins']"
alarm systems,"['alarm systems', 'security alarms']"
allergen extracts,"['allergen extracts', 'allergy extracts']"
allergy triggers,"['allergens', 'allergy risks', 'allergy triggers']"
allergy care,"['allergy care', 'allergy management', 'allergy treatment plans', 'customized allergy care']"
allergy testing,"['allergy diagnosis', 'allergy testing', 'at-home allergy testing']"
allergy shots,"['allergy shots', 'allergy shots alternative']"
anti-inflammatory therapies,"['anti-inflammatory agents', 'anti-inflammatory therapies']"
antibiotic resistance,"['antibiotic resistance', 'antimicrobial resistance']"
drug-resistant infections,"['antibiotic-resistant infections', 'drug-resistant bacteria', 'drug-resistant infections', 'drug-resistant pathogens']"
ige antibodies,"['antibody therapies', 'ige antibodies']"
antiviral therapies,"['antifungal therapies', 'antiviral drug discovery', 'antiviral therapeutics', 'antiviral therapies', 'fungal infections']"
antimicrobial materials,"['antimicrobial materials', 'antimicrobial plastic', 'antimicrobial textiles']"
antimicrobial surfaces,"['antimicrobial nanosurfaces', 'antimicrobial surfaces']"
antimicrobial solutions,"['antimicrobial solutions', 'microbial solutions']"
uv exposure,"['antioxidants', 'exposure records', 'uv exposure', 'uv index', 'uv protection', 'uv-protective antioxidants']"
depression,"['anxiety', 'depression']"
machine learning,"['artificial intelligence', 'machine learning']"
asbestos inspections,"['asbestos inspections', 'asbestos remediation']"
asthma,"['asthma', 'asthma management']"
physical performance,"['athletic performance', 'physical health', 'physical performance']"
autoimmune reactions,"['autoimmune diseases', 'autoimmune reactions', 'immune responses']"
natural pest control,"['automated pest management', 'biopesticides', 'natural pest control', 'pest control', 'plant pests', 'precision weed control', 'sustainable pest control', 'sustainable pest management']"
irrigation systems,"['automated sprinkler systems', 'irrigation management', 'irrigation systems']"
phage therapies,"['bacteriophage therapies', 'phage therapies']"
battery materials,"['battery materials', 'battery technology', 'lithium-ion batteries']"
cooling solutions,"['bed cooling systems', 'cooling solutions', 'cooling technologies']"
probiotics,"['beneficial microorganisms', 'prebiotics', 'probiotics']"
renewable fuels,"['bio-based fuels', 'renewable', 'renewable energy', 'renewable fuels']"
biochar,"['biochar', 'bioheat']"
biodefense,"['biodefense', 'biodefense threats']"
biodegradable,"['biodegradability', 'biodegradable', 'biodegradable packaging']"
biodiversity conservation,"['biodiversity conservation', 'biodiversity loss', 'wildlife conservation']"
biohazard cleaning,"['biohazard cleaning', 'biohazard events', 'hazardous material cleanup']"
biometric sleep data,"['biometric monitoring', 'biometric sleep data']"
sensors,"['biosensors', 'sensor performance', 'sensors']"
cellular agriculture,"['biotechnology agriculture', 'cellular agriculture']"
wearable technology,"['biowearable technology', 'wearable devices', 'wearable personal monitor', 'wearable technology', 'wearable uv sensors']"
bipolar ionization,"['bipolar ionization', 'ionization']"
breathing exercises,"['breathing exercises', 'breathwork']"
broad-spectrum sun protection,"['broad-spectrum spf', 'broad-spectrum sun protection', 'broad-spectrum uva/uvb protection']"
smart building technology,"['building automation', 'smart building technology']"
resilience building,"['building resiliency', 'resilience building', 'resilience planning']"
building safety,"['building safety', 'construction safety']"
burnout,"['burnout', 'burnout prevention']"
carbon capture,"['carbon capture', 'carbon dioxide capture', 'carbon removal', 'emissions capture']"
carbon dioxide emissions,"['carbon dioxide emissions', 'carbon emissions', 'co2 emissions']"
carbon emission reductions,"['carbon emission reductions', 'carbon reduction', 'emissions reduction']"
carbon footprint,"['carbon footprint', 'carbon-negative footprint']"
disaster response,"['catastrophe response', 'disaster relief', 'disaster response']"
natural supplements,"['cbd supplements', 'dietary supplements', 'natural supplements']"
cdc guidelines,"['cdc guidelines', 'who guidelines']"
chemical dosing,"['chemical dosing', 'chemical injection']"
hazardous chemicals,"['chemical hazards', 'hazardous chemicals', 'hazardous materials incidents', 'hazardous waste', 'hazardous waste management']"
chemical-free water treatment,"['chemical-free', 'chemical-free water treatment']"
child development,"['child development', 'child health']"
chronic disease prevention,"['chronic disease', 'chronic disease management', 'chronic disease prevention']"
commercial cleaning,"['clean cooking', 'commercial cleaning']"
clean water solutions,"['clean water', 'clean water access', 'clean water solutions', 'safe water solutions']"
climate,"['climate', 'weather']"
climate protection,"['climate action', 'climate protection', 'climate technology']"
climate change adaptation,"['climate adaptation', 'climate change adaptation']"
climate change and health,"['climate and health', 'climate change and health']"
climate change,"['climate change', 'climate change impacts', 'climate change research', 'climate crisis', 'climate impact']"
weather data,"['climate data', 'weather data', 'weather forecasting']"
energy resilience,"['climate resilience', 'energy resilience', 'health resilience']"
climate-related risks,"['climate risk', 'climate-related challenges', 'climate-related disasters', 'climate-related risks']"
resilient communities,"['climate-resilient communities', 'resilient communities', 'resilient community']"
clinical trials,"['clinical research', 'clinical studies', 'clinical trials']"
health services,"['clinical services', 'health centers', 'health facilities', 'health services', 'health system', 'health systems', 'home health services', 'mobile health centers']"
cognitive function,"['cognitive function', 'cognitive health']"
cognitive-motor training,"['cognitive training', 'cognitive-motor training']"
cold-chain logistics,"['cold chain shipping', 'cold-chain logistics', 'technology logistics']"
cold therapy,"['cold plasma technology', 'cold therapy']"
color-changing inks,"['color-changing inks', 'photochromic inks']"
commercial hvac,"['commercial hvac', 'hvac', 'residential hvac']"
infectious disease control,"['communicable disease control', 'disease prevention', 'infectious disease control', 'infectious disease management', 'infectious disease prevention', 'infectious disease treatment']"
community development,"['community development', 'community empowerment', 'community engagement', 'community health', 'community health workers', 'community innovation', 'community investment', 'community mental health', 'community organizing', 'community outreach', 'community participation', 'community revitalization', 'community support', 'community well-being', 'community wellness', 'community-based initiatives', 'community-based participatory research', 'culturally inclusive wellness', 'neighborhood revitalization']"
community gardens,"['community gardens', 'community kitchens', 'community solar']"
disaster resilience,"['community resilience', 'disaster resilience', 'disaster risk']"
risk reduction,"['community risk reduction', 'multi-risk prevention', 'risk reduction']"
community safety,"['community safety', 'public safety']"
wildfire prevention,"['community wildfire prevention', 'wildfire ignition', 'wildfire management', 'wildfire mitigation', 'wildfire preparedness', 'wildfire prevention', 'wildfire protection planning', 'wildfire risk mitigation', 'wildfire risks', 'wildfire safety', 'wildfire suppression']"
water conservation,"['community-wide water conservation', 'water conservation', 'water efficiency']"
oral medications,"['compounded medications', 'oral medications', 'oral treatment']"
conflict zones,"['conflict zones', 'humanitarian crises']"
cool sleep environment,"['cool sleep environment', 'sleep climate']"
copper ions,"['copper ions', 'copper-enhanced products']"
infection trends,"['covid-19 infection trends', 'infection trends']"
crisis response,"['crisis intervention', 'crisis response']"
crop protection,"['crop protection', 'rainforest protection']"
culturally sensitive care,"['culturally informed care', 'culturally sensitive care']"
data-driven agriculture,"['data-driven agriculture', 'data-driven decision-making', 'precision agriculture']"
digital mental health,"['digital health', 'digital mental health']"
disaster preparedness,"['disaster management', 'disaster preparedness', 'disaster preparedness training', 'emergency preparedness']"
disease spread,"['disease outbreaks', 'disease spread']"
disinfect surfaces,"['disinfect surfaces', 'self-disinfecting surfaces', 'sterilize surfaces']"
disinfection,"['disinfectants', 'disinfecting', 'disinfection', 'disinfection technology', 'surface disinfection']"
oxygen therapy,"['dissolved oxygen', 'ocean therapy', 'oxygen therapy', 'oxygenation']"
distributed energy resources,"['distributed energy', 'distributed energy resources']"
sustainable drinking water,"['drinking water', 'safe drinking water', 'sustainable clean water', 'sustainable drinking water']"
drought challenges,"['drought challenges', 'drought management']"
ductless systems,"['ducted systems', 'ductless systems']"
eco-friendly materials,"['eco-friendly materials', 'eco-friendly solutions', 'sustainable materials']"
environmental conservation,"['ecological conservation', 'environmental conservation', 'environmental protection']"
environmental restoration,"['ecosystem restoration', 'ecosystems restoration', 'environmental remediation', 'environmental restoration', 'forest restoration']"
heat pumps,"['electric heat pumps', 'heat pump', 'heat pump systems', 'heat pumps', 'heating', 'heating systems']"
electrolyte balance,"['electrolyte balance', 'electrolyte blends', 'electrolyte powders', 'electrolyte replenishment', 'electrolytes', 'hormone balance']"
emergency food programs,"['emergency food programs', 'meal programs']"
safe housing,"['emergency housing', 'emergency shelters', 'healthy homes', 'healthy housing', 'healthy indoor environments', 'safe affordable shelter', 'safe and healthy homes', 'safe housing']"
emergency medical services,"['emergency medical', 'emergency medical coverage', 'emergency medical relief', 'emergency medical services', 'emergency medical supplies', 'emergency operations', 'emergency services', 'medical coverage']"
emergency response,"['emergency response', 'emergency response skills']"
mental health,"['emotional health', 'emotional regulation', 'emotional wellness', 'mental health', 'mental health apps', 'mental health clinic', 'mental health coaching', 'mental health conditions', 'mental health counseling', 'mental health prevention', 'mental health services', 'mental health support', 'mental wellness']"
worker health,"['employee health', 'worker health', 'worker safety', 'workplace safety']"
performance audits,"['energy audits', 'performance audits']"
energy consumption,"['energy consumption', 'energy costs']"
energy-efficient,"['energy efficiency', 'energy management', 'energy-efficient', 'energy-efficient designs', 'energy-efficient heating', 'energy-efficient housing', 'energy-efficient hvac', 'energy-efficient technologies', 'environmentally friendly hvac']"
energy services,"['energy infrastructure', 'energy services']"
energy savings,"['energy savings', 'energy-saving solutions']"
thermal energy storage,"['energy storage', 'heat storage', 'thermal energy storage', 'thermal storage']"
environmentally sustainable,"['energy sustainability', 'environmental sustainability', 'environmentally friendly', 'environmentally responsible', 'environmentally sustainable', 'environmentally sustainable practices', 'sustainability', 'sustainable building practices', 'sustainable energy']"
environmental constraints,"['environmental challenges', 'environmental constraints']"
regulatory compliance,"['environmental compliance', 'epa regulatory compliance', 'regulatory compliance']"
environmental health,"['environmental health', 'environmental health and safety', 'environmental health programs', 'environmental safety']"
environmental health and justice,"['environmental health advocacy', 'environmental health and justice', 'environmental health and justice leadership', 'environmental justice']"
laboratory environmental monitoring,"['environmental monitoring', 'laboratory environmental monitoring']"
