tag,search_terms,notes
acoustic products,"['acoustic products', 'eco-friendly acoustic products']",
acute lung injury,"['acute kidney injury', 'acute lung injury']",
agriculture supply chain,"['agricultural supply chain', 'agriculture supply chain', 'supply chains']",
air conditioning,"['air conditioning', 'air-conditioning', 'climate control']",
air pollution control,"['air pollution', 'air pollution control', 'air pollution health', 'pollution control']",
air purification,"['advanced filtration', 'air filters', 'air filtration', 'air filtration technology', 'air purification', 'air purifier', 'air quality filtration', 'natural air purification', 'uv air purifiers']",
air quality monitoring,"['air quality', 'air quality data', 'air quality monitoring', 'air quality sensors', 'air quality tracking']",
airborne pathogens,"['airborne allergens', 'airborne contaminants', 'airborne infectious diseases', 'airborne particles', 'airborne pathogens', 'airborne toxins']",
alarm systems,"['alarm systems', 'security alarms']",
allergen extracts,"['allergen extracts', 'allergy extracts']",
allergy care,"['allergy care', 'allergy management', 'allergy treatment plans', 'customized allergy care']",
allergy shots,"['allergy shots', 'allergy shots alternative']",
allergy testing,"['allergy diagnosis', 'allergy testing', 'at-home allergy testing']",
allergy triggers,"['allergens', 'allergy risks', 'allergy triggers']",
anti-inflammatory therapies,"['anti-inflammatory agents', 'anti-inflammatory drugs', 'anti-inflammatory therapies']",
antibiotic resistance,"['antibiotic resistance', 'antibiotic susceptibility', 'antimicrobial resistance']",
antimicrobial materials,"['antimicrobial materials', 'antimicrobial plastic', 'antimicrobial textiles']",
antimicrobial solutions,"['antimicrobial solutions', 'microbial solutions']",
antimicrobial surfaces,"['antimicrobial nanosurfaces', 'antimicrobial surfaces']",
antiviral therapies,"['antifungal therapies', 'antiviral drug discovery', 'antiviral drugs', 'antiviral therapeutics', 'antiviral therapies', 'fungal infections']",
asbestos inspections,"['asbestos inspections', 'asbestos remediation']",
asthma,"['asthma', 'asthma management']",
autoimmune reactions,"['autoimmune diseases', 'autoimmune reactions', 'immune responses']",
battery materials,"['battery materials', 'battery technology', 'lithium-ion batteries']",
biochar,"['biochar', 'bioheat']",
biodefense,"['biodefense', 'biodefense threats']",
biodegradable,"['biodegradability', 'biodegradable', 'biodegradable biopolymer', 'biodegradable materials', 'biodegradable packaging']",
biodiversity conservation,"['biodiversity', 'biodiversity conservation', 'biodiversity loss', 'biodiversity protection', 'wildlife conservation']",
biohazard cleaning,"['biohazard cleaning', 'biohazard cleanup', 'biohazard events', 'hazardous material cleanup']",
biometric sleep data,"['biometric monitoring', 'biometric sensing', 'biometric sleep data']",
bipolar ionization,"['bipolar ionization', 'ionization']",
breathing exercises,"['breathing exercises', 'breathwork']",
broad-spectrum sun protection,"['broad-spectrum spf', 'broad-spectrum sun protection', 'broad-spectrum uva/uvb protection']",
building envelope airtightness,"['air sealants', 'building envelope airtightness']",
building safety,"['building safety', 'construction safety']",
burnout,"['burnout', 'burnout prevention']",
carbon capture,"['carbon capture', 'carbon dioxide capture', 'carbon removal', 'carbon removal solutions', 'emissions capture']",
carbon dioxide emissions,"['carbon dioxide emissions', 'carbon emissions', 'co2 emissions']",
carbon emission reductions,"['carbon emission reductions', 'carbon emissions reduction', 'carbon reduction', 'carbon reduction goals', 'emissions reduction']",
carbon footprint,"['carbon footprint', 'carbon-negative', 'carbon-negative footprint']",
cdc guidelines,"['cdc guidelines', 'who guidelines']",
cellular agriculture,"['biotechnology', 'biotechnology agriculture', 'cellular agriculture']",
chemical dosing,"['chemical dosing', 'chemical injection']",
chemical-free water treatment,"['chemical-free', 'chemical-free water treatment']",
child development,"['child development', 'child health']",
chronic disease prevention,"['chronic care management', 'chronic conditions', 'chronic disease', 'chronic disease management', 'chronic disease prevention', 'chronic illness management', 'clinical disease management', 'disease management']",
